method,source,model,n_poses,n_targets,pcc,pcc_ci_low,pcc_ci_high,rmse,rmse_ci_low,rmse_ci_high,n_boot_pcc,n_boot_rmse
mean,gnina-apo,dynaformer,10,285,0.6042696217105061,0.5273964398758014,0.6744747892708992,1.8909195233587535,1.725566560078656,2.054364337816652,20000,20000
mean,gnina-apo,dynaformer,20,285,0.6069990694583822,0.5307079166610277,0.6763614030846299,1.8979501032814121,1.7312327958936042,2.0607341080046027,20000,20000
mean,gnina-apo,dynaformer,30,285,0.6093304169904153,0.5332890264031044,0.6790881169553233,1.898369900127284,1.7322037713461906,2.0619711642933054,20000,20000
mean,gnina-apo,dynaformer,50,285,0.6076597861795531,0.5302803225318313,0.6782769866161423,1.905274821126947,1.7394160917940502,2.0703975534501886,20000,20000
mean,gnina-apo,dynaformer,100,285,0.6078959921959437,0.5306753761930103,0.6789843257438575,1.9127418985987241,1.7450060122114939,2.0800613488872783,20000,20000
mean,gnina-apo,egna,1,284,0.6753521684686489,0.6054125638153931,0.7378559613481981,1.7372228728229302,1.567237044604833,1.905829001059941,20000,20000
mean,gnina-apo,egna,2,285,0.6771190784736748,0.6070162253232642,0.7388071541178418,1.7479239565538134,1.5815791470641816,1.9157551279345293,20000,20000
mean,gnina-apo,egna,3,285,0.6795758732760809,0.6102753466200902,0.7412596511926317,1.7528608640097474,1.5864189901932273,1.920206721605211,20000,20000
mean,gnina-apo,egna,5,285,0.674618218497351,0.6063799701860868,0.7359094502583784,1.7732014975397448,1.608605540167358,1.9389148377858525,20000,20000
mean,gnina-apo,egna,10,285,0.6814354767740004,0.6145970528736,0.7415309313295628,1.7796820117607028,1.6139284679916455,1.9444206817507892,20000,20000
mean,gnina-apo,egna,20,285,0.6866886907025581,0.6215560324355628,0.7448073269435598,1.7843398028848994,1.616820712085084,1.949622317564485,20000,20000
mean,gnina-apo,egna,30,285,0.6969121278757054,0.6345697700810466,0.7525793364122706,1.7713781898281538,1.6090308902634034,1.9324943277386555,20000,20000
mean,gnina-apo,egna,50,285,0.700144702944258,0.6374471717419082,0.7552198290622527,1.7730244299804065,1.6078945235120272,1.9373718128735093,20000,20000
mean,gnina-apo,egna,100,285,0.6994617676140314,0.636843818185185,0.7554258802695035,1.778155210812942,1.6118562350258296,1.943618496114567,20000,20000
mean,gnina-apo,ehign_pla,1,282,0.5473754818934891,0.4606521193813214,0.6260839610521192,2.03086575558558,1.8398908384335626,2.218521048332161,20000,20000
