method,source,model,n_poses,n_targets,pcc,pcc_ci_low,pcc_ci_high,rmse,rmse_ci_low,rmse_ci_high,n_boot_pcc,n_boot_rmse
mean,gnina-af3,egna,30,285,0.6057989859602528,0.5254431437510014,0.6790887781320951,2.022079588800311,1.8337574479398375,2.208703390777675,20000,20000
mean,gnina-af3,egna,50,285,0.6068668817996398,0.5258652105077035,0.680232447956247,2.025447486833735,1.83597994155568,2.2133620639697527,20000,20000
mean,gnina-af3,egna,100,285,0.6119700788540711,0.5318953735134929,0.684844668671211,2.025330594375893,1.8365452045641093,2.213087397175878,20000,20000
mean,gnina-af3,ehign_pla,1,284,0.5377610795268684,0.4446942249040333,0.6205531562865695,2.2623734815100778,2.056396671146294,2.472642920063561,20000,20000
mean,gnina-af3,ehign_pla,2,284,0.5637605401854794,0.4801834849803796,0.6376381936509853,2.260276404127078,2.062494314036519,2.4590826736476363,20000,20000
mean,gnina-af3,ehign_pla,3,284,0.5663409059385373,0.48572619125465155,0.6392767474048903,2.2677683291232045,2.0713025344312643,2.4625987958981272,20000,20000
mean,gnina-af3,ehign_pla,5,284,0.5672932870098253,0.48700966784545036,0.6399962545292971,2.2828618816466495,2.0882137872282467,2.477141588705355,20000,20000
mean,gnina-af3,ehign_pla,10,284,0.5751240751643502,0.4975780324487734,0.6454158903584202,2.314709942413133,2.1190053088447804,2.508423638821304,20000,20000
mean,gnina-af3,ehign_pla,20,284,0.5518320726626788,0.47133959302202455,0.6251307036375364,2.3600436306728434,2.1622153910711424,2.555092416066693,20000,20000
mean,gnina-af3,ehign_pla,30,284,0.5471828681766873,0.46564531063935666,0.6207952008467799,2.3864109246499243,2.1879418034927274,2.5828212850876797,20000,20000
mean,gnina-af3,ehign_pla,50,284,0.5409006675941137,0.45947182016908894,0.6146711732727753,2.4201279641643616,2.221149225442416,2.6175423950862213,20000,20000
mean,gnina-af3,ehign_pla,100,284,0.5391231327641525,0.45838386656949454,0.6131560324581401,2.469183197914628,2.2708258046042427,2.6656148761199416,20000,20000
mean,gnina-af3,gign,1,284,0.4710330928535892,0.3778119285606751,0.554370210291274,2.2418075468062635,2.054680309709902,2.4295782757847126,20000,20000
mean,gnina-af3,gign,2,284,0.5170968176826325,0.4294307155651421,0.5971353713108268,2.191748169167407,2.0177314847998176,2.3656389480988347,20000,20000
mean,gnina-af3,gign,3,284,0.529076848473326,0.4444729405951963,0.6068043019293752,2.183946755101218,2.01155469481324,2.356717039254781,20000,20000
mean,gnina-af3,gign,5,284,0.516879657534815,0.4334163962174498,0.5936767120430081,2.2171539330931873,2.0464266513892797,2.3880895596391536,20000,20000
mean,gnina-af3,gign,10,284,0.5413385169839287,0.46079675477633136,0.6154090613955664,2.221684781816183,2.046047669201179,2.396649216134206,20000,20000
mean,gnina-af3,gign,20,284,0.5265791822096353,0.4435714728939047,0.6032926826542645,2.2486012237305966,2.0702216166409206,2.4257384301006444,20000,20000
