method,source,model,n_poses,pcc,rmse,n_targets
median,gnina-crystal,onionnet-2,2,0.7689056012027274,1.4740555289624568,284
median,gnina-crystal,onionnet-2,3,0.760659962247363,1.4941294364216544,284
median,gnina-crystal,onionnet-2,5,0.7441352227964393,1.5420646760563725,284
median,gnina-crystal,onionnet-2,10,0.7079495256220278,1.6430526325225971,284
median,gnina-crystal,onionnet-2,20,0.6786444881376127,1.7336276872099485,284
median,gnina-crystal,onionnet-2,30,0.6647947720694134,1.7853354068140652,284
median,gnina-crystal,onionnet-2,50,0.654010765210333,1.8367835004383055,284
median,gnina-crystal,onionnet-2,100,0.6350558585671526,1.9188228275828827,284
median,gnina-apo,dynaformer,1,0.5737473840691216,1.907587209751191,284
median,gnina-apo,dynaformer,2,0.6127592023564629,1.8398156760507796,285
median,gnina-apo,dynaformer,3,0.6065877024183969,1.8574416678496277,285
median,gnina-apo,dynaformer,5,0.5928899145506153,1.8905790926251762,285
median,gnina-apo,dynaformer,10,0.5984629812851717,1.8997543013572173,285
median,gnina-apo,dynaformer,20,0.5981460572071329,1.9099893376601962,285
median,gnina-apo,dynaformer,30,0.5979271326254928,1.913164733680811,285
median,gnina-apo,dynaformer,50,0.5951876593579231,1.9213850366242486,285
median,gnina-apo,dynaformer,100,0.5916128763573967,1.9350807117971482,285
median,gnina-apo,egna,1,0.6753521684686489,1.7372228728229302,284
median,gnina-apo,egna,2,0.6771190784736748,1.7479239565538134,285
median,gnina-apo,egna,3,0.6726453870033308,1.755699290880987,285
median,gnina-apo,egna,5,0.6690613445362316,1.7764112501964633,285
median,gnina-apo,egna,10,0.6703762508522377,1.7964420733235509,285
median,gnina-apo,egna,20,0.6788153713035211,1.7967845061118233,285
median,gnina-apo,egna,30,0.6847921771858436,1.788893095959602,285
median,gnina-apo,egna,50,0.6923213404623678,1.7843912176268577,285
median,gnina-apo,egna,100,0.69610587995612,1.7862111965264609,285
median,gnina-apo,ehign_pla,1,0.5473754818934891,2.03086575558558,282
median,gnina-apo,ehign_pla,2,0.575280900056718,2.023019597105141,283
median,gnina-apo,ehign_pla,3,0.5729312044795041,2.028411831319785,283
median,gnina-apo,ehign_pla,5,0.5703970562895867,2.075563194793328,283
median,gnina-apo,ehign_pla,10,0.5584436204545811,2.151445927175389,283
median,gnina-apo,ehign_pla,20,0.5440613932563372,2.246296713242211,284
median,gnina-apo,ehign_pla,30,0.5562483503014056,2.253885221424004,284
median,gnina-apo,ehign_pla,50,0.5487767907768604,2.3074062749207043,284
median,gnina-apo,ehign_pla,100,0.5503511153245186,2.382010240797636,284
median,gnina-apo,gign,1,0.47983188634547796,2.071613483494965,282
median,gnina-apo,gign,2,0.5377599195766617,2.0077584967208173,283
